"","date","mood_level","period"
"1",2021-01-31,4,"Before"
"2",2021-01-30,4,"Before"
"3",2021-01-29,4,"Before"
"4",2021-01-28,3,"Before"
"5",2021-01-27,3,"Before"
"6",2021-01-26,2,"Before"
"7",2021-01-25,3,"Before"
"8",2021-01-24,2,"Before"
"9",2021-01-24,4,"Before"
"10",2021-01-23,5,"Before"
"11",2021-01-22,3,"Before"
"12",2021-01-21,3,"Before"
"13",2021-01-20,5,"Before"
"14",2021-01-19,5,"Before"
"15",2021-01-18,4,"Before"
"16",2021-01-17,5,"Before"
"17",2021-01-16,5,"Before"
"18",2021-01-16,2,"Before"
"19",2021-01-15,5,"Before"
"20",2021-01-14,4,"Before"
"21",2021-01-13,5,"Before"
"22",2021-01-12,5,"Before"
"23",2021-01-11,5,"Before"
"24",2021-01-11,2,"Before"
"25",2021-01-10,5,"Before"
"26",2021-01-09,2,"Before"
"27",2021-01-08,2,"Before"
"28",2021-01-07,2,"Before"
"29",2021-01-06,4,"Before"
"30",2021-01-05,3,"Before"
"31",2021-01-04,4,"Before"
"32",2021-01-03,5,"Before"
"33",2021-01-02,5,"Before"
"34",2021-01-01,4,"Before"
"35",2020-12-31,4,"Before"
"36",2020-12-30,3,"Before"
"37",2020-12-29,5,"Before"
"38",2020-12-28,2,"Before"
"39",2020-12-27,4,"Before"
"40",2020-12-26,2,"Before"
"41",2020-12-25,4,"Before"
"42",2020-12-24,4,"Before"
"43",2020-12-23,4,"Before"
"44",2020-12-22,2,"Before"
"45",2020-12-21,2,"Before"
"46",2020-12-20,4,"Before"
"47",2020-12-19,5,"Before"
"48",2020-12-18,2,"Before"
"49",2020-12-17,2,"Before"
"50",2020-12-16,5,"Before"
"51",2020-12-15,4,"Before"
"52",2020-12-14,4,"Before"
"53",2020-12-13,4,"Before"
"54",2020-12-12,4,"Before"
"55",2020-12-11,4,"Before"
"56",2020-12-10,5,"Before"
"57",2020-12-09,4,"Before"
"58",2020-12-08,4,"Before"
"59",2020-12-07,3,"Before"
"60",2020-12-06,5,"Before"
"61",2020-12-05,3,"Before"
"62",2020-12-04,2,"Before"
"63",2020-12-03,2,"Before"
"64",2021-04-01,5,"During"
"65",2021-03-31,2,"During"
"66",2021-03-30,2,"During"
"67",2021-03-29,4,"During"
"68",2021-03-28,4,"During"
"69",2021-03-27,2,"During"
"70",2021-03-26,5,"During"
"71",2021-03-25,4,"During"
"72",2021-03-24,4,"During"
"73",2021-03-23,5,"During"
"74",2021-03-22,5,"During"
"75",2021-03-21,4,"During"
"76",2021-03-20,4,"During"
"77",2021-03-19,4,"During"
"78",2021-03-18,4,"During"
"79",2021-03-17,2,"During"
"80",2021-03-16,2,"During"
"81",2021-03-15,5,"During"
"82",2021-03-14,5,"During"
"83",2021-03-13,4,"During"
"84",2021-03-12,4,"During"
"85",2021-03-11,2,"During"
"86",2021-03-10,5,"During"
"87",2021-03-09,5,"During"
"88",2021-03-08,4,"During"
"89",2021-03-07,4,"During"
"90",2021-03-06,4,"During"
"91",2021-03-05,3,"During"
"92",2021-03-04,4,"During"
"93",2021-03-03,5,"During"
"94",2021-03-02,3,"During"
"95",2021-03-01,4,"During"
"96",2021-02-28,3,"During"
"97",2021-02-27,5,"During"
"98",2021-02-26,4,"During"
"99",2021-02-25,5,"During"
"100",2021-02-24,5,"During"
"101",2021-02-23,4,"During"
"102",2021-02-22,5,"During"
"103",2021-02-21,4,"During"
"104",2021-02-20,4,"During"
"105",2021-02-19,5,"During"
"106",2021-02-18,4,"During"
"107",2021-02-17,3,"During"
"108",2021-02-16,4,"During"
"109",2021-02-15,4,"During"
"110",2021-02-14,5,"During"
"111",2021-02-13,4,"During"
"112",2021-02-12,2,"During"
"113",2021-02-11,2,"During"
"114",2021-02-10,2,"During"
"115",2021-02-09,3,"During"
"116",2021-02-08,2,"During"
"117",2021-02-07,4,"During"
"118",2021-02-06,4,"During"
"119",2021-02-05,5,"During"
"120",2021-02-04,2,"During"
"121",2021-02-03,4,"During"
"122",2021-02-02,4,"During"
"123",2021-02-01,5,"During"
"124",2021-05-31,3,"After"
"125",2021-05-30,2,"After"
"126",2021-05-29,4,"After"
"127",2021-05-28,4,"After"
"128",2021-05-27,4,"After"
"129",2021-05-27,2,"After"
"130",2021-05-26,4,"After"
"131",2021-05-25,5,"After"
"132",2021-05-24,4,"After"
"133",2021-05-24,2,"After"
"134",2021-05-23,5,"After"
"135",2021-05-22,3,"After"
"136",2021-05-21,3,"After"
"137",2021-05-21,1,"After"
"138",2021-05-20,2,"After"
"139",2021-05-19,5,"After"
"140",2021-05-19,2,"After"
"141",2021-05-18,4,"After"
"142",2021-05-17,2,"After"
"143",2021-05-17,4,"After"
"144",2021-05-16,5,"After"
"145",2021-05-15,4,"After"
"146",2021-05-14,4,"After"
"147",2021-05-13,4,"After"
"148",2021-05-12,4,"After"
"149",2021-05-11,4,"After"
"150",2021-05-10,4,"After"
"151",2021-05-09,4,"After"
"152",2021-05-08,4,"After"
"153",2021-05-07,4,"After"
"154",2021-05-06,4,"After"
"155",2021-05-05,5,"After"
"156",2021-05-04,4,"After"
"157",2021-05-03,4,"After"
"158",2021-05-02,4,"After"
"159",2021-05-01,4,"After"
"160",2021-04-30,5,"After"
"161",2021-04-29,2,"After"
"162",2021-04-28,2,"After"
"163",2021-04-27,1,"After"
"164",2021-04-27,3,"After"
"165",2021-04-26,2,"After"
"166",2021-04-25,4,"After"
"167",2021-04-24,4,"After"
"168",2021-04-23,4,"After"
"169",2021-04-22,4,"After"
"170",2021-04-21,4,"After"
"171",2021-04-20,2,"After"
"172",2021-04-19,4,"After"
"173",2021-04-18,5,"After"
"174",2021-04-17,4,"After"
"175",2021-04-16,5,"After"
"176",2021-04-15,4,"After"
"177",2021-04-14,4,"After"
"178",2021-04-13,4,"After"
"179",2021-04-12,2,"After"
"180",2021-04-11,2,"After"
"181",2021-04-10,1,"After"
"182",2021-04-09,5,"After"
"183",2021-04-08,5,"After"
"184",2021-04-07,2,"After"
"185",2021-04-06,4,"After"
"186",2021-04-05,2,"After"
"187",2021-04-04,5,"After"
"188",2021-04-03,5,"After"
"189",2021-04-02,5,"After"
